abbreviated,label
Shape,Feature geometry.
STATEFP10,State FIPS Code
COUNTYFP10,County FIPS Code
TRACTCE10,Census Tract Code
BLKGRPCE10,Block Group Code
GEOID10,Geographic Identifier
NAMELSAD10,Full Name
MTFCC10,MAF/TIGER Feature Classification Code
FUNCSTAT10,Functional Status
ALAND10,Land Area 
AWATER10,Water Area
INTPTLAT10,Internal Point Latitude
INTPTLON10,Internal Point Longitude
Shape_Leng,Length of feature in internal units
GEOID10_1,"Unique Identifier of Summary Level, Characteristic Iteration, US, State, County, Tract, Block Group Code"
GEOID,"Unique Identifier of Summary Level, Characteristic Iteration, US, State, County, Tract, Block Group Code"
SUMLEVEL,Summary Level
ST,State Number
NAME,Name of Feature
COUNTY,County Number
TRACT,Tract Number
BLKGRP,Block Group Number
Total,Total Population
Male,Total Population-Male
MUn5Y,Males Under 5 Years of Age
M5to9Y,Males 5 to 9 Years of Age
M10to14Y,Males 10 to 14 Years of Age
M15to17Y,Males 15 to 17 Years of Age
M18and19Y,Males 18 and 19 Years
M20Y,Males 20 Years of Age
M21Y,Males 21 Years of Age
M22to24Y,Males 22 to 24 Years of Age
M25to29Y,Males 25 to 29 Years of Age
M30to34Y,Males 30 to 34 Years of Age
M35to39Y,Males 35 to 39 Years of Age
M40to44Y,Males 40 to 44 Years of Age
M45to49Y,Males 45 to 49 Years of Age
M50to54Y,Males 50 to 54 Years of Age
M55to59Y,Males 55 to 59 Years of Age
M60and61Y,Males 60 and 61 Years of Age
M62to64Y,Males 62 to 64 Years of Age
M65and66Y,Males 65 and 66 Years of Age
M67to69Y,Males 67 to 69 Years of Age
M70to74Y,Males 70 to 74 Years of Age
M75to79Y,Males 75 to 79 Years of Age
M80to84Y,Males 80 to 84 Years of Age
MOv85Y,Males Over 85 Years of Age
Female,Total Population-Female
FUn5Y,Females Under 5 Years of Age
F5to9Y,Females 5 to 9 Years of Age
F10to14Y,Females 10 to 14 Years of Age
F15to17Y,Females 15 to 17 Years of Age
F18and19Y,Females 18 and 19 Years of Age
F20Y,Females 20 Years of Age
F21Y,Females 21 Years of Age
F22to24Y,Females 22 to 24 Years of Age
F25to29Y,Females 25 to 29 Years of Age
F30to34Y,Females 30 to 34 Years of Age
F35to39Y,Females 35 to 39 Years of Age
F40to44Y,Females 40 to 44 Years of Age
F45to49Y,Females 45 to 49 Years of Age
F50to54Y,Females 50 to 54 Years of Age
F55to59Y,Females 55 to 59 Years of Age
F60and61Y,Females 60 and 61 Years of Age
F62to64Y,Females 62 to 64 Years of Age
F65and66Y,Females 65 and 66 Years of Age
F67to69Y,Females 67 to 59 Years of Age
F70to74Y,Females 70 to 74 Years of Age
F75to79Y,Females 75 to 79 Years of Age
F80to84Y,Females 80 to 84 Years of Age
FOv85Y,Females Over 85 Years of Age
MedianAge,Median Age-Total Population
MedianAgeM,Median Age-Male
MedianAgeF,Median Age-Female
TotalRace,Total Population-All Races
White,Total Population-White
BlackorAA,Total Population-Black or African American
AmIndAlNat,Total Population-American Indian or Alaskan Native
Asian,Total Population-Asian
